POAexemptCode,Description
Y93.A6,"Activity, grass drills"
Y93.A9,"Activity, other involving cardiorespiratory exercise"
Y93.B1,"Activity, exercise machines primarily for muscle strengthening"
Y93.B2,"Activity, push-ups, pull-ups, sit-ups"
Y93.B3,"Activity, free weights"
Y93.B4,"Activity, pilates"
Y93.B9,"Activity, other involving muscle strengthening exercises"
Y93.C1,"Activity, computer keyboarding"
Y93.C2,"Activity, hand held interactive electronic device"
Y93.C9,"Activity, other involving computer technology and electronic devices"
Y93.D1,"Activity, knitting and crocheting"
Y93.D2,"Activity, sewing"
Y93.D3,"Activity, furniture building and finishing"
Y93.D9,"Activity, other involving arts and handcrafts"
Y93.E1,"Activity, personal bathing and showering"
Y93.E2,"Activity, laundry"
Y93.E3,"Activity, vacuuming"
Y93.E4,"Activity, ironing"
Y93.E5,"Activity, floor mopping and cleaning"
Y93.E6,"Activity, residential relocation"
Y93.E8,"Activity, other personal hygiene"
Y93.E9,"Activity, other interior property and clothing maintenance"
Y93.F1,"Activity, caregiving, bathing"
Y93.F2,"Activity, caregiving, lifting"
Y93.F9,"Activity, other caregiving"
Y93.G1,"Activity, food preparation and clean up"
Y93.G2,"Activity, grilling and smoking food"
Y93.G3,"Activity, cooking and baking"
Y93.G9,"Activity, other involving cooking and grilling"
Y93.H1,"Activity, digging, shoveling and raking"
Y93.H2,"Activity, gardening and landscaping"
Y93.H3,"Activity, building and construction"
Y93.H9,"Activity, other involving exterior property and land maintenance, building and construction"
Y93.I1,"Activity, roller coaster riding"
Y93.I9,"Activity, other involving external motion"
Y93.J1,"Activity, piano playing"
Y93.J2,"Activity, drum and other percussion instrument playing"
Y93.J3,"Activity, string instrument playing"
Y93.J4,"Activity, winds and brass instrument playing"
Y93.K1,"Activity, walking an animal"
Y93.K2,"Activity, milking an animal"
Y93.K3,"Activity, grooming and shearing an animal"
Y93.K9,"Activity, other involving animal care"
Y93.81,"Activity, refereeing a sports activity"
Y93.82,"Activity, spectator at an event"
Y93.83,"Activity, rough housing and horseplay"
Y93.84,"Activity, sleeping"
Y93.85,"Activity, choking game"
Y93.89,"Activity, other specified"
Y93.9,"Activity, unspecified"
Y99.0,Civilian activity done for income or pay
Y99.1,Military activity
Y99.2,Volunteer activity
Y99.8,Other external cause status
Y99.9,Unspecified external cause status
Z00.00,Encounter for general adult medical examination without abnormal findings
Z00.01,Encounter for general adult medical examination with abnormal findings
Z00.110,Health examination for newborn under 8 days old
Z00.111,Health examination for newborn 8 to 28 days old
Z00.121,Encounter for routine child health examination with abnormal findings
Z00.129,Encounter for routine child health examination without abnormal findings
Z00.2,Encounter for examination for period of rapid growth in childhood
Z00.3,Encounter for examination for adolescent development state
Z00.5,Encounter for examination of potential donor of organ and tissue
Z00.6,Encounter for examination for normal comparison and control in clinical research program
Z00.70,Encounter for examination for period of delayed growth in childhood without abnormal findings
Z00.71,Encounter for examination for period of delayed growth in childhood with abnormal findings
Z00.8,Encounter for other general examination
Z01.00,Encounter for examination of eyes and vision without abnormal findings
Z01.01,Encounter for examination of eyes and vision with abnormal findings
Z01.10,Encounter for examination of ears and hearing without abnormal findings
Z01.110,Encounter for hearing examination following failed hearing screening
Z01.118,Encounter for examination of ears and hearing with other abnormal findings
Z01.12,Encounter for hearing conservation and treatment
Z01.20,Encounter for dental examination and cleaning without abnormal findings
Z01.21,Encounter for dental examination and cleaning with abnormal findings
Z01.30,Encounter for examination of blood pressure without abnormal findings
Z01.31,Encounter for examination of blood pressure with abnormal findings
Z01.411,Encounter for gynecological examination (general) (routine) with abnormal findings
Z01.419,Encounter for gynecological examination (general) (routine) without abnormal findings
Z01.42,Encounter for cervical smear to confirm findings of recent normal smear following initial abnormal smear
Z01.810,Encounter for preprocedural cardiovascular examination
Z01.811,Encounter for preprocedural respiratory examination
Z01.812,Encounter for preprocedural laboratory examination
Z01.818,Encounter for other preprocedural examination
Z01.82,Encounter for allergy testing
Z01.83,Encounter for blood typing
Z01.84,Encounter for antibody response examination
Z01.89,Encounter for other specified special examinations
Z02.0,Encounter for examination for admission to educational institution
Z02.1,Encounter for pre-employment examination
Z02.2,Encounter for examination for admission to residential institution
Z02.3,Encounter for examination for recruitment to armed forces
Z02.4,Encounter for examination for driving license
Z02.5,Encounter for examination for participation in sport
Z02.6,Encounter for examination for insurance purposes
Z02.71,Encounter for disability determination
Z02.79,Encounter for issue of other medical certificate
Z02.81,Encounter for paternity testing
Z02.82,Encounter for adoption services
Z02.83,Encounter for blood-alcohol and blood-drug test
Z02.89,Encounter for other administrative examinations
Z02.9,"Encounter for administrative examinations, unspecified"
Z03.6,Encounter for observation for suspected toxic effect from ingested substance ruled out
Z03.71,Encounter for suspected problem with amniotic cavity and membrane ruled out
Z03.72,Encounter for suspected placental problem ruled out
Z03.73,Encounter for suspected fetal anomaly ruled out
Z03.74,Encounter for suspected problem with fetal growth ruled out
Z03.75,Encounter for suspected cervical shortening ruled out
Z03.79,Encounter for other suspected maternal and fetal conditions ruled out
Z03.810,Encounter for observation for suspected exposure to anthrax ruled out
Z03.818,Encounter for observation for suspected exposure to other biological agents ruled out
